Aria | Composer | Opera | Voice | Filename
Le brise souffle au loin (La brezza aleggia intorno) | Verdi, Giuseppe | Les vêpres siciliennes | Henri (Arrigo) | Le brise souffle au loin (La brezza aleggia intorno).pdf
O jour de peine (Giorno di pianto) | Verdi, Giuseppe | Les vêpres siciliennes | Henri (Arrigo) | O jour de peine (Giorno di pianto).pdf
Ah fu giusto il mio sospetto | Verdi, Giuseppe | Luisa Miller | Miller | Ah fu giusto il mio sospetto.pdf
Sacra la scelta è d'un consorte | Verdi, Giuseppe | Luisa Miller | Miller | Sacra la scelta è d'un consorte.pdf
Il mio sangue la vita darei | Verdi, Giuseppe | Luisa Miller | Count Walter | Il mio sangue la vita darei.pdf
A brani, a brani, o perfido | Verdi, Giuseppe | Luisa Miller | Luisa Miller | A brani, a brani, o perfido.pdf
Lo vidi e'l primo palpito | Verdi, Giuseppe | Luisa Miller | Luisa Miller | Lo vidi e'l primo palpito.pdf
Tu puniscimi, O Signore | Verdi, Giuseppe | Luisa Miller | Luisa Miller | Tu puniscimi, O Signore.pdf
L'ara o l'avella apprestami | Verdi, Giuseppe | Luisa Miller | Rodolfo | L'ara o l'avella apprestami.pdf
Quando le sere al placido | Verdi, Giuseppe | Luisa Miller | Rodolfo | Quando le sere al placido.pdf
Fuggi regal fantasima | Verdi, Giuseppe | Macbeth | Macbeth | Fuggi regal fantasima.pdf
O lieto augurio | Verdi, Giuseppe | Macbeth | Macbeth | O lieto augurio.pdf
Pietà, rispetto, amore | Verdi, Giuseppe | Macbeth | Macbeth | Pietà, rispetto, amore.pdf
Come dal ciel precipita | Verdi, Giuseppe | Macbeth | Banco | Come dal ciel precipita.pdf
La luce langue | Verdi, Giuseppe | Macbeth | Lady Macbeth | La luce langue.pdf
Or tutti, sorgete | Verdi, Giuseppe | Macbeth | Lady Macbeth | Or tutti, sorgete.pdf
Una macchia è qui tuttora! | Verdi, Giuseppe | Macbeth | Lady Macbeth | Una macchia è qui tuttora!.pdf
Vieni t'affretta | Verdi, Giuseppe | Macbeth | Lady Macbeth | Vieni t'affretta.pdf
Ah, la paterna mano | Verdi, Giuseppe | Macbeth | Macduff | Ah, la paterna mano.pdf
Dio di Giuda... O prodi miei, seguitemi | Verdi, Giuseppe | Nabucco | Nabucco | Dio di Giuda... O prodi miei, seguitemi.pdf
D'Egitto là su i lidi...Come notte a sol fulgente | Verdi, Giuseppe | Nabucco | Zaccaria | D'Egitto là su i lidi...Come notte a sol fulgente.pdf
Tu sul labbro | Verdi, Giuseppe | Nabucco | Zaccaria | Tu sul labbro.pdf
O dischius'è il firmamento | Verdi, Giuseppe | Nabucco | Fenema | O dischius'è il firmamento.pdf
Anch'io dischiuso un giorno... Salgo già del trono aurato | Verdi, Giuseppe | Nabucco | Abigaille | Anch'io dischiuso un giorno... Salgo già del trono aurato.pdf
L'orror del tradimento… Ma tu superbo giovane | Verdi, Giuseppe | Oberto, conte di San Bonifacio | Oberto | L'orror del tradimento… Ma tu superbo giovane.pdf
Oh, chi torna l'ardente pensiero?...Più che i vezzi e lo splendore | Verdi, Giuseppe | Oberto, conte di San Bonifacio | Cuniza | Oh, chi torna l'ardente pensiero...Più che i vezzi e lo splendore.pdf
Sotto il paterno tetto...Oh potessi nel mio core | Verdi, Giuseppe | Oberto, conte di San Bonifacio | Leonora | Sotto il paterno tetto...Oh potessi nel mio core.pdf
Ciel che feci? | Verdi, Giuseppe | Oberto, conte di San Bonifacio | Riccardo | Ciel che feci.pdf
Son fra voi! Già sorto è il giorno...Già parmi udire il fremito | Verdi, Giuseppe | Oberto, conte di San Bonifacio | Riccardo | Son fra voi! Già sorto è il giorno...Già parmi udire il fremito.pdf
Credo in un Dio crudel | Verdi, Giuseppe | Otello | Iago | Credo in un Dio crudel.pdf
Era la notte | Verdi, Giuseppe | Otello | Iago | Era la notte.pdf
Ave Maria | Verdi, Giuseppe | Otello | Desdemona | Ave Maria.pdf
Mia madre aveva una povera ancella (Canzone di salice - Willow Song) | Verdi, Giuseppe | Otello | Desdemona | Mia madre aveva una povera ancella (Canzone di salice - Willow Song).pdf
Dio! Mi potevi scagliar tutti I mali | Verdi, Giuseppe | Otello | Otello | Dio! Mi potevi scagliar tutti I mali.pdf
Niun mi tema! | Verdi, Giuseppe | Otello | Otello | Niun mi tema!.pdf
Ora è per sempre addio | Verdi, Giuseppe | Otello | Otello | Ora è per sempre addio.pdf
Cortigiani, vil razza dannata | Verdi, Giuseppe | Rigoletto | Rigoletto | Cortigiani, vil razza dannata.pdf
Pari siamo | Verdi, Giuseppe | Rigoletto | Rigoletto | Pari siamo.pdf
Caro nome | Verdi, Giuseppe | Rigoletto | Gilda | Caro nome.pdf
Tutte le feste al tempio | Verdi, Giuseppe | Rigoletto | Gilda | Tutte le feste al tempio.pdf
Ella mi fu rapita... Parmi veder le lagrime | Verdi, Giuseppe | Rigoletto | The Duke of Mantua | Ella mi fu rapita... Parmi veder le lagrime.pdf
La donna è mobile | Verdi, Giuseppe | Rigoletto | The Duke of Mantua | La donna è mobile.pdf
Possente amor mi chiama | Verdi, Giuseppe | Rigoletto | The Duke of Mantua | Possente amor mi chiama.pdf
Questa o quella | Verdi, Giuseppe | Rigoletto | The Duke of Mantua | Questa o quella.pdf
Plebe! Patrizi! | Verdi, Giuseppe | Simon Boccanegra | Simon Boccanegra | Plebe! Patrizi!.pdf
Il lacerato spirito | Verdi, Giuseppe | Simon Boccanegra | Jacopo Fiesco | Il lacerato spirito.pdf
Nell'ora soave | Verdi, Giuseppe | Simon Boccanegra | Maria Boccanegra | Nell'ora soave.pdf
Come in quest'ora bruna | Verdi, Giuseppe | Simon Boccanegra | Maria Boccanegra (Amelia?) | Come in quest'ora bruna.pdf
Sento avvampar nell'anima | Verdi, Giuseppe | Simon Boccanegra | Gabriele Adorno | Sento avvampar nell'anima.pdf
Lina pensai che un angelo...O gioia inesprimibile | Verdi, Giuseppe | Stiffelio | Stankar | Lina pensai che un angelo...O gioia inesprimibile.pdf
A te ascenda, O Dio clemente | Verdi, Giuseppe | Stiffelio | Lina | A te ascenda, O Dio clemente.pdf
Ah dagli scanni eternei | Verdi, Giuseppe | Stiffelio | Lina | Ah dagli scanni eternei.pdf
Perder dunque voi volete | Verdi, Giuseppe | Stiffelio | Lina | Perder dunque voi volete.pdf
Ah v'appare in fronte scritto | Verdi, Giuseppe | Stiffelio | Stiffelio | Ah v'appare in fronte scritto.pdf
Di qua varcando sul primo albore | Verdi, Giuseppe | Stiffelio | Stiffelio | Di qua varcando sul primo albore.pdf
Vidi dovunque gemere | Verdi, Giuseppe | Stiffelio | Stiffelio | Vidi dovunque gemere.pdf
