Aria | Composer | Opera | Voice | Filename
----------------------------------------------------------------------------------------------------
Scorsi già molti paesi | Paisiello, Giovanni | Il barbiere di Siviglia | Check (Figaro) | Scorsi già molti paesi.pdf
Veramente ha torto, è vero | Paisiello, Giovanni | Il barbiere di Siviglia | Check (Bartolo) | Veramente ha torto, è vero.pdf
Vuoi tu, Rosina | Paisiello, Giovanni | Il barbiere di Siviglia | Check (Bartolo) | Vuoi tu, Rosina.pdf
La calunnia, mio signore | Paisiello, Giovanni | Il barbiere di Siviglia | Check (Don Basilio) | La calunnia, mio signore.pdf
Già riede primavera | Paisiello, Giovanni | Il barbiere di Siviglia | Check (Rosina) | Già riede primavera.pdf
Giusto ciel, che conoscete | Paisiello, Giovanni | Il barbiere di Siviglia | Check (Rosina) | Giusto ciel, che conoscete.pdf
Ecco l'ora s'avvicina | Paisiello, Giovanni | Il barbiere di Siviglia | Check (Il Conte d'Almaviva) | Ecco l'ora s'avvicina.pdf
Saper bramate | Paisiello, Giovanni | Il barbiere di Siviglia | Check (Il Conte d'Almaviva) | Saper bramate.pdf
