Aria | Composer | Opera | Voice | Filename
Cet asile aimable et tranquille | Gluck, Christoph Willibald von | Orphée et Euridice | Check (Une ombre heureuse) | Cet asile aimable et tranquille.pdf
Nell'idea ch'ei volge in mente | Gluck, Christoph Willibald von | Paride ed Elena | Soprano/女高音 | Nell'idea ch'ei volge in mente.pdf
Donzelle semplici, no non credete a quelle lagrime | Gluck, Christoph Willibald von | Paride ed Elena | Soprano/女高音 | Donzelle semplici, no non credete a quelle lagrime.pdf
Lo potrò! Ma fra tanto | Gluck, Christoph Willibald von | Paride ed Elena | Soprano/女高音 | Lo potrò! Ma fra tanto.pdf
Forse più d'una beltà | Gluck, Christoph Willibald von | Paride ed Elena | Check (Helene) | Forse più d'una beltà.pdf
T'inganni, il tuo destino | Gluck, Christoph Willibald von | Paride ed Elena | Check (Pallas) | T'inganni, il tuo destino.pdf
Dall'aurea sua stella colombe amorose | Gluck, Christoph Willibald von | Paride ed Elena | Check (Paris) | Dall'aurea sua stella colombe amorose.pdf
Di te scordarmi e vivere! | Gluck, Christoph Willibald von | Paride ed Elena | Check (Paris) | Di te scordarmi e vivere!.pdf
Le belle imagini d'un dolce amore | Gluck, Christoph Willibald von | Paride ed Elena | Check (Paris) | Le belle imagini d'un dolce amore.pdf
Oh del mio dolce ardor | Gluck, Christoph Willibald von | Paride ed Elena | Check (Paris) | Oh del mio dolce ardor.pdf
Quegli occhi belli | Gluck, Christoph Willibald von | Paride ed Elena | Check (Paris) | Quegli occhi belli.pdf
Spiagge amate, ove talora | Gluck, Christoph Willibald von | Paride ed Elena | Check (Paris) | Spiagge amate, ove talora.pdf
Fuggi dagl'occhi miei | Gluck, Christoph Willibald von | Semiramide riconosciuta | Check (Semiramide) | Fuggi dagl'occhi miei.pdf
Oscura il sol le stelle | Gluck, Christoph Willibald von | Semiramide riconosciuta | Check (Semiramide) | Oscura il sol le stelle.pdf
Tradita sprezzata che piango | Gluck, Christoph Willibald von | Semiramide riconosciuta | Check (Semiramide) | Tradita sprezzata che piango.pdf
Vieni che poi sereno | Gluck, Christoph Willibald von | Semiramide riconosciuta | Check (Sibari) | Vieni che poi sereno.pdf
Voi che le mie vivende | Gluck, Christoph Willibald von | Semiramide riconosciuta | Check (Scitalce) | Voi che le mie vivende.pdf
D'un genio che m'accende | Gluck, Christoph Willibald von | Semiramide riconosciuta | Check (Tamiris) | D'un genio che m'accende.pdf
Padre tu non m'ascolti se per entro | Gluck, Christoph Willibald von | Telemaco, ossia L'isola di Circe | Check (Telemaco) | Padre tu non m'ascolti se per entro.pdf
Parmi veder ancor ah non turbi | Gluck, Christoph Willibald von | Telemaco, ossia L'isola di Circe | Check (Telemaco) | Parmi veder ancor ah non turbi.pdf
